Model,Accuracy,Recall_C1,F1_Score
Naive Bayes,0.5840089745550966,0.23,0.33
Decision Tree,0.6242924889092856,0.5045211896720776,0.5569452796151534
Random Forest,0.6373973790219775,0.5780378431587007,0.5978168655619026
SVM,0.6140431390546122,0.5105545225855846,0.55226264418811
kNN,0.5853857528937841,0.4923985562725582,0.5254741756638459
Logistic Regression,0.6138391718933252,0.41,0.5
